,Unnamed: 0,task_id,pretty_formula,spacegroup.symbol,spacegroup.crystal_system,e_above_hull,structure.lattice.volume,density,band_gap,final_energy,cat_oxi_state,an_oxi_state,coordination_num
33,33,mp-1018132,AlBi,F-43m,cubic,0.0891343149999999,67.05333328870022,5.843468147794531,0.3018999999999998,-7.45372358,0.0,0.0,4
79,79,mp-23256,BCl,P2_12_12_1,orthorhombic,0.0994778228993054,1636.7091064111823,1.502002848545427,0.9011,-308.04710865,0.0,0.0,1
80,80,mp-567944,BCl,P4_2/nmc,tetragonal,0.2811371386805552,444.1123385546536,1.383851295412336,3.3285,-74.10522811,0.0,0.0,1
166,166,mp-1066781,BrCl,Cmc2_1,orthorhombic,0.0,158.36993217183098,2.419080471638261,1.8328,-7.18121859,0.0,0.0,2
170,170,mp-1197830,CI,P4_2/n,tetragonal,0.9479429537499992,1428.0060295401752,2.5845724676964665,3.4211,-141.67828764,0.0,0.0,2
275,275,mp-29504,ClF,P2_1/c,monoclinic,0.0,172.9689668179998,2.0909804552380304,2.0897,-17.8311795,0.0,0.0,1
333,333,mp-1205121,CsBi,P2_1/c,monoclinic,0.0,1670.6508366958144,5.437064894020238,0.2452,-88.19646438,0.0,0.0,6
336,336,mp-505806,CsC,Pnma,orthorhombic,0.3650060015301726,519.4944220183431,3.7057403723621567,3.1337,-75.5493769,0.0,0.0,5
341,341,mp-866501,CsGe,I4_1/acd,tetragonal,0.0,1308.3909654136555,4.173874774306372,1.2037,-94.42379465,0.0,0.0,8
342,342,mp-1273,CsGe,P-43n,cubic,0.0310074695312501,2706.397609090794,4.035667211001597,1.3382999999999998,-186.86311125,0.0,0.0,6
356,356,mp-1370,CsSi,P-43n,cubic,0.0,2581.945344406854,3.313244603919191,1.5631999999999997,-206.10780094,0.0,0.0,6
357,357,mp-866482,CsSi,I4_1/acd,tetragonal,0.0233021734375,1228.6235364098047,3.481382305668656,1.2115,-102.30823092,0.0,0.0,8
358,358,mp-571056,CsSn,P-43n,cubic,0.0,3236.5286913596096,4.131016431332376,1.1371000000000002,-176.6474786,0.0,0.0,6
359,359,mp-11055,CsSn,I4_1/acd,tetragonal,0.0095312731249999,1543.8830062725112,4.33004092608208,0.7471999999999999,-88.01873856,0.0,0.0,6
469,469,mp-623782,EuAg,P1,triclinic,2.49842503875,7579.834528202218,0.2276891492843489,0.0821999999999998,-34.9477835,0.0,0.0,0
505,505,mp-21255,FeGe,P2_13,cubic,0.0557717408333351,101.88787116361227,8.376045530659681,0.0988999999999995,-52.4655611,0.0,0.0,7
532,532,mp-871,FeSi,P2_13,cubic,0.0,88.01548130249711,6.333879997782489,0.1663999999999994,-59.67319189,0.0,0.0,7
612,612,mp-1025397,GeRu,P2_13,cubic,0.0111832531249955,117.4174315883153,9.826555984308929,0.1660000000000003,-57.85191777,0.0,0.0,7
625,625,mp-1079612,HC,I2_13,cubic,0.3192004274999993,40.27854397166951,2.146846254343923,5.004100000000001,-49.19812798,0.0,0.0,1
730,730,mp-567998,ICl,P2_1/c,monoclinic,0.0,719.7760590022172,2.996497794750987,1.8619,-29.50098735,0.0,0.0,2
731,731,mp-568024,ICl,P2_1/c,monoclinic,0.0090825893749997,704.1213615392578,3.063118790771765,1.5271,-29.35566592,0.0,0.0,2
732,732,mp-573495,ICl,P2_1/c,monoclinic,0.1011358831249997,808.6481295224928,2.6671766059587574,1.243,-27.88281322,0.0,0.0,1
795,795,mp-31104,KBi,P2_1/c,monoclinic,0.0,1360.542102370894,4.844473357770943,0.4072,-91.20291582,0.0,0.0,6
798,798,mp-243,KC,I4_1/acd,tetragonal,0.2660736011875002,430.7189152459967,1.5763132409708716,3.3007,-78.72898362,0.0,0.0,6
799,799,mp-1057017,KC,Fm-3m,cubic,2.3342928974375,59.14910350401815,1.4348229495835734,0.6809,-5.70468436,0.0,0.0,6
800,800,mp-1064300,KC,C2/c,monoclinic,2.3348054824375,117.5502435984637,1.443952620715259,0.5861,-11.40731838,0.0,0.0,6
801,801,mp-1064814,KC,C2/m,monoclinic,2.8837152674375,117.6993105916074,1.442123844706886,0.5863,-9.21167924,0.0,0.0,6
808,808,mp-1201758,KGe,I4_1/acd,tetragonal,0.0,1046.4325941227578,2.8370035631929755,1.3282999999999998,-98.19712581,0.0,0.0,8
809,809,mp-2146,KGe,P-43n,cubic,0.0408174274999999,2159.1483472604696,2.749911095209613,0.9106,-193.78193626,0.0,0.0,6
821,821,mp-21526,KPb,I4_1/acd,tetragonal,0.0,1326.1292856936118,4.934516760612845,0.3734999999999999,-84.56552704,0.0,0.0,8
829,829,mp-1217,KSi,P-43n,cubic,0.0,2048.180748996911,1.7429918658853183,1.2619000000000002,-213.31124696,0.0,0.0,6
830,830,mp-1201508,KSi,I4_1/acd,tetragonal,0.0166062865625002,971.0832195761948,1.8381341132238576,1.1834,-106.12422231,0.0,0.0,8
832,832,mp-542374,KSn,I4_1/acd,tetragonal,0.0,1254.355857182432,3.342551900987325,0.7335000000000003,-91.24699608,0.0,0.0,8
835,835,mp-863730,KTl,Cmce,orthorhombic,0.002634178611111,1000.1427046428248,4.851036240185309,0.1171999999999999,-44.45817562,0.0,0.0,4
888,888,mp-1205309,LiB,Imma,orthorhombic,0.0774036775000004,54.28535414507965,1.0860347132120545,0.3805999999999999,-17.55638261,0.0,0.0,6
889,889,mp-1001831,LiB,Fd-3m,cubic,0.3860535875000002,28.08979750411576,2.0988324679780304,1.4331000000000005,-16.32178297,0.0,0.0,4
894,894,mp-1378,LiC,Immm,orthorhombic,0.0158141461111105,47.43302731172628,1.3269251410695124,3.4502,-22.2217707,0.0,0.0,6
919,919,mp-570363,LiSi,I4_1/a,tetragonal,0.2057247468749996,390.8477757422685,1.1904966634297736,1.4682,-58.54349556,0.0,0.0,5
1075,1075,mp-1079684,NO,C2/c,monoclinic,0.9768145073611124,139.50037765300902,1.4287072802123415,0.1716999999999999,-46.07142688,0.0,0.0,1
1083,1083,mp-1267,NaC,I4_1/acd,tetragonal,0.2253941512499997,290.8752203110946,1.5984763920862972,3.4578,-80.70563618,0.0,0.0,6
1088,1088,mp-29657,NaGe,P2_1/c,monoclinic,0.0,818.4303816447909,3.104419804167132,1.1187999999999998,-100.04236271,0.0,0.0,6
1107,1107,mp-2402,NaSi,C2/c,monoclinic,0.0,387.2603272262512,1.7520509902787824,1.4226,-54.14422674,0.0,0.0,5
1108,1108,mp-11051,NaSn,I4_1/acd,tetragonal,0.0,967.3177004899164,3.8919664552562265,0.5308999999999999,-92.00505466,0.0,0.0,8
1236,1236,mp-28885,PSe,P2_1/c,monoclinic,0.0,1056.1848935675791,2.765414391379023,2.2456,-145.01180839,0.0,0.0,3
1366,1366,mp-31105,RbBi,P2_1/c,monoclinic,0.0,1516.7148351263422,5.15791343623875,0.3792999999999999,-88.85518377,0.0,0.0,6
1370,1370,mp-10821,RbC,Pnma,orthorhombic,0.3411995739062501,448.25221679882384,2.888853218565817,3.5449,-76.5809355,0.0,0.0,5
1375,1375,mp-1199056,RbGe,I4_1/acd,tetragonal,0.0,1138.6571270029804,3.689176274866346,0.9153,-95.34474286,0.0,0.0,8
1376,1376,mp-1888,RbGe,P-43n,cubic,0.0381311021874997,2383.145073147488,3.5253471603378954,1.015,-188.24909518,0.0,0.0,6
1385,1385,mp-21525,RbPb,I4_1/acd,tetragonal,0.0,1468.4624212688138,5.295185586196617,0.4050000000000002,-82.03944313,0.0,0.0,8
1396,1396,mp-1074,RbSi,P-43n,cubic,0.0,2293.262801760886,2.6311463739306475,1.35,-207.61852004,0.0,0.0,6
1397,1397,mp-1200287,RbSi,I4_1/acd,tetragonal,0.0193559615624998,1089.523495588399,2.7690591941133715,1.159,-103.18986925,0.0,0.0,8
1398,1398,mp-11054,RbSn,I4_1/acd,tetragonal,0.0,1392.3343543419296,3.896135578356101,0.7438000000000002,-88.7584905,0.0,0.0,8
1433,1433,mp-28099,SBr,Aea2,orthorhombic,0.0,305.54484062594094,2.434063666298411,2.3074,-23.45387571,0.0,0.0,2
1434,1434,mp-28096,SCl,Fdd2,orthorhombic,0.0,563.9370655097308,1.5904792723260246,2.8905000000000003,-50.55222496,0.0,0.0,2
1447,1447,mp-7716,SbTe,P-3m1,trigonal,0.0087572378571443,401.6485044451823,6.185587901830058,0.2067000000000005,-44.86303462,0.0,0.0,6
1490,1490,mp-540943,SeBr,P2_1/c,monoclinic,0.0025297742773435,621.349180694308,3.396478327777847,1.8382,-42.50797086,0.0,0.0,2
1491,1491,mp-570589,SeBr,Aea2,orthorhombic,0.0059194492773437,289.9761188297981,3.6389186715224646,1.5484,-21.22686803,0.0,0.0,2
1492,1492,mp-504825,SeCl,P2_1/c,monoclinic,0.0216672278710938,592.3680961796057,2.565799980818707,2.2181,-45.84395197,0.0,0.0,2
1495,1495,mp-1863,SiAs,C2/m,monoclinic,0.0,310.0391430166532,3.3101751996131403,1.484,-61.37066428,0.0,0.0,4
1522,1522,mp-29803,SiH,P-3m1,trigonal,0.0300446953125002,75.65954242971058,1.2770575171443816,2.1403,-17.49365302,0.0,0.0,1
1678,1678,mp-27923,TbCl,R-3m,trigonal,0.1112168458333338,118.453049366198,5.449802189193032,0.0064999999999999,-18.64240382,0.0,0.0,3
1679,1679,mp-568342,TbCl,R-3m,trigonal,0.1113229358333329,117.2475679814762,5.505834354316715,0.0215,-18.64197946,0.0,0.0,3
1720,1720,mp-569766,TeI,C2/m,monoclinic,0.0,343.4277123568593,4.922312321961769,0.7345000000000002,-19.3242023,0.0,0.0,5
1721,1721,mp-23273,TeI,P-1,triclinic,0.0173755937499997,712.6559126859729,4.744108426368167,0.8736000000000002,-38.3703951,0.0,0.0,3
2150,2150,mp-1065846,ZrBr,C2/m,monoclinic,1.812000000001035e-05,105.51292545373862,5.386349173186648,0.0066000000000006,-24.38505895,0.0,0.0,3
2200,2200,mp-570276,ZrZn,Pm-3m,cubic,0.0,37.42708722291125,6.94938438756032,0.0230999999999999,-10.37633316,0.0,0.0,8
